"COUNTRY_STATE","ADMIN_2","REGION","CATEGORY","MEASURE","TARGETED_POP_GROUP","COMMENTS","NON_COMPLIANCE","DATE_IMPLEMENTED","SOURCE","SOURCE_TYPE","LINK","ENTRY_DATE","ISO3166_1","LAST_UPDATED_DATE"
"Burkina Faso","Ouagadougou","","Social distancing","Limit public gatherings","No","Limit public gathering to 50 people, with 40 people allowed to participate in weddings.","Not applicable","2020-03-19 00:00:00.000000","Le Faso ","Media","https://lefaso.net/spip.php?article95601","2020-04-21 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
"Burkina Faso","","","Public health measures","Other public health measures enforced","No","The sale of Chloroquine is controlled to avoid self-medication.","Not applicable","2020-03-25 00:00:00.000000","Le Faso ","Media","https://lefaso.net/spip.php?article95739","2020-04-21 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
"Burkina Faso","","","Public health measures","Requirement to wear protective gear in public","No","Requirement to wear face mask in public.","Not applicable","2020-04-27 00:00:00.000000","Le Faso ","Media","https://lefaso.net/spip.php?article96248","2020-04-21 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
"Burkina Faso","","","Social distancing","Schools closure ","No","Extension of school closure until further notice.","Not applicable","2020-04-15 00:00:00.000000","Le Faso ","Media","https://lefaso.net/spip.php?article96248","2020-04-21 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
"Burkina Faso","","","Movement restrictions","Curfews","No","Extension of curfew time from 9pm to 4am.","Not applicable","2020-04-21 00:00:00.000000","Government — Burkina Faso","Government","https://www.sidwaya.info/blog/2020/04/17/covid-19-a-partir-du-20-avril-le-couvre-feu-sera-de-21h-a-4-h-du-matin-decret-presidentiel/","2020-04-21 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
"Burkina Faso","","","Social distancing","Limit public gatherings","No","Reopening of Ouagadougou's market after three weeks of being closed.","Not applicable","2020-04-20 00:00:00.000000","Le Faso ","Media","https://lefaso.net/spip.php?article96310","2020-04-21 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
"Burundi","","","Public health measures","Health screenings in airports and border crossings","No","Passengers are screened at the airport for elevated temperature and asked to complete a health form that includes questions about travel in the last three week","Not applicable","2020-03-15 00:00:00.000000","US Embassy","Government","https://bi.usembassy.gov/covid-19-information/","2020-03-15 00:00:00.000000","BI","2020-04-27 00:40:26.851057"
"Burundi","","","Public health measures","Introduction of isolation and quarantine policies","Yes","Quarantine measures for China, France, Germany, Iran, Italy, Japan, South Korea and Spain. The travelers may be quarantined in a Government Hotel Facility in Bujumbura (Hotel Source du Nil) for 14 days.","Not applicable","2020-03-06 00:00:00.000000","US Embassy","Government","https://bi.usembassy.gov/covid-19-information/","2020-03-15 00:00:00.000000","BI","2020-04-27 00:40:26.851057"
"Burundi","","","Public health measures","Introduction of isolation and quarantine policies","Yes","Quarantine for those arriving in the country that have been China, South Korea, Iran, Italy, Germany, France, Japan, Spain, and the rest of the European Union in the last 14 days.","Not applicable","2020-03-12 00:00:00.000000","Ministere de la Sante Publique","Government","http://minisante.bi/?p=553","2020-03-15 00:00:00.000000","BI","2020-04-27 00:40:26.851057"
"Burundi","","","Public health measures","Introduction of isolation and quarantine policies","Yes","Quarantine for those arriving in the country that have been in Dubai in the last 14 days.","Not applicable","2020-03-19 00:00:00.000000","Ministere de la Sante Publique","Government","http://minisante.bi/?p=553","2020-03-15 00:00:00.000000","BI","2020-04-27 00:40:26.851057"
